[stream] event conversation_created {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{},"event_id":"b9300f22-f3ee-4fe3-b20e-5736ec092710","event_type":"conversation_created","sequence_number":7,"timestamp":"2026-04-06T21:59:55Z"}
use-conversation-stream.ts:83 [stream] event message_received {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"content":"hi friend. what can you help me do?"},"event_id":"5369a43f-943e-4724-a6c7-ec3bfca8986a","event_type":"message_received","sequence_number":8,"timestamp":"2026-04-06T22:00:04Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" a","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"6bb4db69-3c8d-4c84-81c7-f43260635dfa","event_type":"response_chunk","sequence_number":19,"timestamp":"2026-04-06T22:00:07Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" wide","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"efd2d440-8dd0-4e71-a067-344c344d0933","event_type":"response_chunk","sequence_number":20,"timestamp":"2026-04-06T22:00:07Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" range","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"02ec6680-8196-4d08-b19e-f7bf730c5e7e","event_type":"response_chunk","sequence_number":21,"timestamp":"2026-04-06T22:00:07Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" of","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"2b6b6376-535e-4f83-a43d-02e1bde6ea45","event_type":"response_chunk","sequence_number":22,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" tasks","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"5e52099b-fb7f-4924-9fac-22cf1d9950ca","event_type":"response_chunk","sequence_number":23,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":".","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"771f6aa0-4b50-463c-aab0-0267a742e85c","event_type":"response_chunk","sequence_number":24,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" Here's","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"8c6db52e-0bf0-4640-8e25-2633eae909fb","event_type":"response_chunk","sequence_number":25,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" what","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"f65cff36-64eb-4dc7-9687-dbd73f5c5919","event_type":"response_chunk","sequence_number":26,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" I","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"31d660a7-26f4-477c-a7a7-b583b91461a9","event_type":"response_chunk","sequence_number":27,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" can","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"12d7341c-6c10-45e1-9229-12df2b3eecfa","event_type":"response_chunk","sequence_number":28,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" do","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"b46b8a56-1b99-4f62-82b9-bef7cae56dec","event_type":"response_chunk","sequence_number":29,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" for","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"ea5129ec-700d-47cc-a231-e4f415757b9a","event_type":"response_chunk","sequence_number":30,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" you","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"5af5261d-edce-4178-8e14-284c0595b0e2","event_type":"response_chunk","sequence_number":31,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":":\n\n","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"48b6d6f4-e7d9-4001-9579-aafcb9faed01","event_type":"response_chunk","sequence_number":32,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"##","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"e3443003-8a44-40f6-86c1-f261431bb152","event_type":"response_chunk","sequence_number":33,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" 💻","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"f5e2f8dd-8c38-4884-8243-dddb307cff53","event_type":"response_chunk","sequence_number":34,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" **","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"7e59c393-2666-4f7b-8828-2859e104f60b","event_type":"response_chunk","sequence_number":35,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"Software","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"240f4d92-f189-43cb-9e75-b3d6b8b6ad86","event_type":"response_chunk","sequence_number":36,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" Development","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"bfd12641-5bbb-466d-96f9-03b9314c6324","event_type":"response_chunk","sequence_number":37,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"**\n","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"7457649d-9fce-495f-975a-c110f7168c49","event_type":"response_chunk","sequence_number":38,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"-","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"7ece3c4d-a4d9-41f2-a12d-f91005aa0ee2","event_type":"response_chunk","sequence_number":39,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" **","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"52a1c0a6-9ddd-474f-88c6-2e13f506dea8","event_type":"response_chunk","sequence_number":40,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"Read","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"d3f079a7-55d0-49e9-bb9a-548d8109fc5a","event_type":"response_chunk","sequence_number":41,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":",","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"490f2598-9034-4509-98fb-08e2f341c84f","event_type":"response_chunk","sequence_number":42,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" write","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"448bd77c-19a4-4bcf-9f08-cf3a13a05ab1","event_type":"response_chunk","sequence_number":43,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":",","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"6b0b17d8-2105-4ea0-893f-1f1224058dc7","event_type":"response_chunk","sequence_number":44,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" and","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"fd6538e9-63fc-4ecb-ba41-3cea77041842","event_type":"response_chunk","sequence_number":45,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" edit","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"1e32b654-3fd8-40de-af50-8723cc91153f","event_type":"response_chunk","sequence_number":46,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" files","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"a5d6c68b-9d46-4c1f-8ac8-a32bec6b1195","event_type":"response_chunk","sequence_number":47,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"**","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"ad5d7d44-e7ac-4b61-b13b-4de66ee617dc","event_type":"response_chunk","sequence_number":48,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" in","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"d18cd8cb-ef88-434d-8fd3-ca62c005d6b7","event_type":"response_chunk","sequence_number":49,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" any","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"cf8893fc-aed8-4714-bbd9-d742146a5b89","event_type":"response_chunk","sequence_number":50,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" programming","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"1fcec7a8-9ef8-4316-832d-7e5e2cc244a4","event_type":"response_chunk","sequence_number":51,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" language","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"85cbf3e4-9172-4a3f-b301-401b6d16b6f4","event_type":"response_chunk","sequence_number":52,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"\n","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"fb1861a1-1887-4742-a69a-4d98a8214af5","event_type":"response_chunk","sequence_number":53,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"-","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"0f1f7801-e709-4fe7-8fcd-3bc1d1197040","event_type":"response_chunk","sequence_number":54,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" **","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"8d04b32e-b559-4fd4-9369-4f8339127b07","event_type":"response_chunk","sequence_number":55,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"Search","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"3c5ad0c1-0819-4388-b395-53cb95b9d2f9","event_type":"response_chunk","sequence_number":56,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" and","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"fe39213e-6d32-47a3-a8ff-46f57fc1848a","event_type":"response_chunk","sequence_number":57,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" analyze","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"ff6cb941-84f1-4966-a79c-3639c4ab290c","event_type":"response_chunk","sequence_number":58,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" code","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"886dad62-ae4e-4e68-818a-e9cc3a98ca29","event_type":"response_chunk","sequence_number":59,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"**","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"5db038b6-fe78-4a20-8a13-026e5a30b421","event_type":"response_chunk","sequence_number":60,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" across","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"0e306789-6935-4840-b4e8-8883221d5e04","event_type":"response_chunk","sequence_number":61,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" your","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"fcb83001-3b69-4e82-935a-626d274fe9cc","event_type":"response_chunk","sequence_number":62,"timestamp":"2026-04-06T22:00:08Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" codebase","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"69a8e0fb-aa95-4858-bb38-aa927a5dbdac","event_type":"response_chunk","sequence_number":63,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"\n","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"ff521ae8-79f6-445f-8de6-af89876305ac","event_type":"response_chunk","sequence_number":64,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"-","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"52956791-cdc9-4a6c-98d5-2e526844ab41","event_type":"response_chunk","sequence_number":65,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" **","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"e9466fa3-fda4-4d6b-94f0-99fb7ca915b5","event_type":"response_chunk","sequence_number":66,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"Run","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"3ca083c8-013a-4d9d-8f07-c842a42da5a2","event_type":"response_chunk","sequence_number":67,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" terminal","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"e81e1e7a-81bc-40a8-ad7c-c083bb644cde","event_type":"response_chunk","sequence_number":68,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" commands","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"0562a8c0-88f2-4026-b21a-bb3b2f105cf3","event_type":"response_chunk","sequence_number":69,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"**","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"232f242b-496d-4ef2-a028-5f0f0d12d71b","event_type":"response_chunk","sequence_number":70,"timestamp":"2026-04-06T22:00:09Z"}
